bulan,hari,jam,jumlah,kategori
9,senin,8,18,Terisi
9,senin,9,18,Terisi
9,senin,10,20,Penuh
9,senin,11,19,Terisi
9,senin,12,25,Penuh
9,senin,13,30,Penuh Sekali
9,senin,14,29,Penuh
9,senin,15,28,Penuh
9,senin,16,22,Penuh
9,senin,17,15,Terisi
9,senin,18,14,Terisi
9,senin,19,11,Terisi
9,selasa,8,26,Penuh
9,selasa,9,30,Penuh Sekali
9,selasa,10,28,Penuh
9,selasa,11,26,Penuh
9,selasa,12,35,Penuh Sekali
9,selasa,13,34,Penuh Sekali
9,selasa,14,30,Penuh Sekali
9,selasa,15,23,Penuh
9,selasa,16,17,Terisi
9,selasa,17,11,Terisi
9,selasa,18,16,Terisi
9,selasa,19,15,Terisi
9,rabu,8,22,Penuh
9,rabu,9,18,Terisi
9,rabu,10,14,Terisi
9,rabu,11,14,Terisi
9,rabu,12,23,Penuh
9,rabu,13,23,Penuh
9,rabu,14,30,Penuh Sekali
9,rabu,15,27,Penuh
9,rabu,16,25,Penuh
9,rabu,17,10,Terisi
9,rabu,18,13,Terisi
9,rabu,19,8,Terisi
9,kamis,8,30,Penuh Sekali
9,kamis,9,31,Penuh Sekali
9,kamis,10,31,Penuh Sekali
9,kamis,11,27,Penuh
9,kamis,12,34,Penuh Sekali
9,kamis,13,32,Penuh Sekali
9,kamis,14,28,Penuh
9,kamis,15,28,Penuh
9,kamis,16,21,Penuh
9,kamis,17,16,Terisi
9,kamis,18,22,Penuh
9,kamis,19,14,Terisi
9,jumat,8,23,Penuh
9,jumat,9,12,Terisi
9,jumat,10,14,Terisi
9,jumat,11,28,Penuh
9,jumat,12,39,Tidak Muat
9,jumat,13,38,Penuh Sekali
9,jumat,14,33,Penuh Sekali
9,jumat,15,25,Penuh
9,jumat,16,18,Terisi
9,jumat,17,11,Terisi
9,jumat,18,9,Terisi
9,jumat,19,8,Terisi
9,sabtu,8,27,Penuh
9,sabtu,9,30,Penuh Sekali
9,sabtu,10,34,Penuh Sekali
9,sabtu,11,34,Penuh Sekali
9,sabtu,12,46,Tidak Muat
9,sabtu,13,44,Tidak Muat
9,sabtu,14,32,Penuh Sekali
9,sabtu,15,46,Tidak Muat
9,sabtu,16,32,Penuh Sekali
9,sabtu,17,31,Penuh Sekali
9,sabtu,18,39,Tidak Muat
9,sabtu,19,21,Penuh
9,minggu,8,31,Penuh Sekali
9,minggu,9,34,Penuh Sekali
9,minggu,10,34,Penuh Sekali
9,minggu,11,33,Penuh Sekali
9,minggu,12,51,Tidak Muat
9,minggu,13,40,Tidak Muat
9,minggu,14,35,Penuh Sekali
9,minggu,15,41,Tidak Muat
9,minggu,16,33,Penuh Sekali
9,minggu,17,30,Penuh Sekali
9,minggu,18,38,Penuh Sekali
9,minggu,19,24,Penuh
