bulan,hari,jam,jumlah
9,senin,8,18
9,senin,9,18
9,senin,10,20
9,senin,11,19
9,senin,12,25
9,senin,13,30
9,senin,14,29
9,senin,15,28
9,senin,16,22
9,senin,17,15
9,senin,18,14
9,senin,19,11
9,selasa,8,26
9,selasa,9,30
9,selasa,10,28
9,selasa,11,26
9,selasa,12,35
9,selasa,13,34
9,selasa,14,30
9,selasa,15,23
9,selasa,16,17
9,selasa,17,11
9,selasa,18,16
9,selasa,19,15
9,rabu,8,22
9,rabu,9,18
9,rabu,10,14
9,rabu,11,14
9,rabu,12,23
9,rabu,13,23
9,rabu,14,30
9,rabu,15,27
9,rabu,16,25
9,rabu,17,10
9,rabu,18,13
9,rabu,19,8
9,kamis,8,30
9,kamis,9,31
9,kamis,10,31
9,kamis,11,27
9,kamis,12,34
9,kamis,13,32
9,kamis,14,28
9,kamis,15,28
9,kamis,16,21
9,kamis,17,16
9,kamis,18,22
9,kamis,19,14
9,jumat,8,23
9,jumat,9,12
9,jumat,10,14
9,jumat,11,28
9,jumat,12,39
9,jumat,13,38
9,jumat,14,33
9,jumat,15,25
9,jumat,16,18
9,jumat,17,11
9,jumat,18,9
9,jumat,19,8
9,sabtu,8,27
9,sabtu,9,30
9,sabtu,10,34
9,sabtu,11,34
9,sabtu,12,46
9,sabtu,13,44
9,sabtu,14,32
9,sabtu,15,46
9,sabtu,16,32
9,sabtu,17,31
9,sabtu,18,39
9,sabtu,19,21
9,minggu,8,31
9,minggu,9,34
9,minggu,10,34
9,minggu,11,33
9,minggu,12,51
9,minggu,13,40
9,minggu,14,35
9,minggu,15,41
9,minggu,16,33
9,minggu,17,30
9,minggu,18,38
9,minggu,19,24
